Timestamp,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Source Account,Text
2018-04-06 10:45:09,0.0,Fri Apr 06 10:45:09 +0000 2018,0.0,1.0,0.0,nytimes,"As part of a crackdown on H-1B visa holders, the Trump administration plans to rescind an Obama-era program that al… https://t.co/1cqXB4fzRf"
2018-04-06 10:50:00,0.0,Fri Apr 06 10:50:00 +0000 2018,0.0,1.0,0.0,nytimes,President Trump says foreign workers on H-1B visas take jobs away from Americans. Employers say they fill a labor s… https://t.co/qxaoBcGPcT
2018-04-06 11:00:08,-0.3939,Fri Apr 06 11:00:08 +0000 2018,0.112,0.888,0.0,nytimes,"When are Prince Harry and Meghan Markle getting married? 
What if my invitation was lost in the mail? 
Will there b… https://t.co/njdWS12zyj"
2018-04-06 11:06:44,-0.8126,Fri Apr 06 11:06:44 +0000 2018,0.27,0.73,0.0,BBCNews,"RT @BBCRealityCheck: .@DavidLammy says UK ""drugs market of Europe"" fuelling violent crime in London. Is he right? We've been looking at the…"
2018-04-06 11:14:05,-0.3818,Fri Apr 06 11:14:05 +0000 2018,0.214,0.675,0.111,nytimes,"On local TV stations across the United States, news anchors were forced to read identical scripts warning about ""fa… https://t.co/w2prdZAs2N"
2018-04-06 11:15:53,-0.5994,Fri Apr 06 11:15:53 +0000 2018,0.328,0.672,0.0,BBCNews,Gaia Pope death: Watchdog investigates Dorset Police response https://t.co/BxGfVcYI2i
2018-04-06 11:20:09,0.081,Fri Apr 06 11:20:09 +0000 2018,0.177,0.633,0.19,nytimes,Bernie Sanders is trying to remedy his most significant vulnerability in 2016: his lack of support from black voters https://t.co/xr0GAmEIu8
2018-04-06 11:24:26,0.3612,Fri Apr 06 11:24:26 +0000 2018,0.0,0.8,0.2,BBCNews,"Meet the gargantuan air freighter that looks like a whale 🐳

https://t.co/5nRXkJdBnM https://t.co/vtqKMZGpaY"
2018-04-06 11:30:14,0.0,Fri Apr 06 11:30:14 +0000 2018,0.0,1.0,0.0,nytimes,"In Opinion

Madeleine Albright writes: ""Fascism — and the tendencies that lead toward fascism — pose a more serious… https://t.co/KXBhoAlNGO"
2018-04-06 11:32:47,0.0,Fri Apr 06 11:32:47 +0000 2018,0.0,1.0,0.0,BBCNews,British snowboarder suffocates in snow in French Alps https://t.co/LG7Et5cZqB
2018-04-06 11:45:08,-0.7717,Fri Apr 06 11:45:08 +0000 2018,0.339,0.661,0.0,nytimes,"A Belarusian escort who called herself the ""missing link"" in the Russia investigation faces new criminal charges in… https://t.co/mr8uUq2asj"
2018-04-06 11:51:17,0.6249,Fri Apr 06 11:51:17 +0000 2018,0.0,0.805,0.195,BBCNews,"RT @BBCWorld: Viktor Orban says he's the defender of Hungary and Europe against Muslim migrants. 

So what happens if he wins power again?…"
2018-04-06 11:59:20,0.0,Fri Apr 06 11:59:20 +0000 2018,0.0,1.0,0.0,BBCNews,RT @BBCBreaking: Catalan ex-leader leaves jail in Germany on bail and calls for immediate dialogue https://t.co/cDybQgf2L3
2018-04-06 12:00:01,-0.4767,Fri Apr 06 12:00:01 +0000 2018,0.181,0.819,0.0,CBSNews,"Russia's campaign to discredit claims about nerve agent attack is working in Moscow
https://t.co/mltM1zJ5mS https://t.co/bgOCLgJWQa"
2018-04-06 12:00:09,-0.3818,Fri Apr 06 12:00:09 +0000 2018,0.14,0.86,0.0,nytimes,"Your daily @DealBook Briefing:

• The U.S.-China trade fight is getting hotter.  

• BlackRock acts on guns. 

• EP… https://t.co/PokQO8Z100"
2018-04-06 12:01:33,-0.8225,Fri Apr 06 12:01:33 +0000 2018,0.432,0.568,0.0,BBCNews,"'Beast of Wombwell' Peter Pickering killed by heart attack, inquest hears https://t.co/P4KTmcSvZh"
2018-04-06 12:07:36,-0.2508,Fri Apr 06 12:07:36 +0000 2018,0.095,0.905,0.0,CBSNews,"President Trump said in a radio interview Friday morning that tariffs on China may cause a little pain, but he insi… https://t.co/tB8S2gEz69"
2018-04-06 12:08:45,0.4019,Fri Apr 06 12:08:45 +0000 2018,0.0,0.816,0.184,BBCNews,Alfie Evans: Hospital to seek court ruling over life support end date https://t.co/PoT4AjvllO
2018-04-06 12:10:00,0.0,Fri Apr 06 12:10:00 +0000 2018,0.0,1.0,0.0,nytimes,Have a question that was not answered in our royal wedding FAQ? Submit them at the bottom of the page. https://t.co/C40nawUkxA
2018-04-06 12:10:05,-0.1779,Fri Apr 06 12:10:05 +0000 2018,0.158,0.718,0.124,CBSNews,A report from Michigan lawmakers says Michigan State University failed to protect students and parents from former… https://t.co/O8InRLGU05
2018-04-06 12:14:07,0.0258,Fri Apr 06 12:14:07 +0000 2018,0.118,0.758,0.123,CBSNews,Democratic Congressman Joe Kennedy III is criticizing the idea of arming teachers to protect schools. On Sunday's… https://t.co/L4OmFzKIJH
2018-04-06 12:17:59,0.3612,Fri Apr 06 12:17:59 +0000 2018,0.0,0.884,0.116,CBSNews,"For the Easter sisters, answering the call to service felt natural. The three sisters are the fourth generation of… https://t.co/zXMFo1qP7v"
2018-04-06 12:20:01,-0.0772,Fri Apr 06 12:20:01 +0000 2018,0.141,0.734,0.124,CBSNews,"Los Angeles residents complain GPS app Waze is creating ""insanity"" on their street
https://t.co/NEIDq8qVPp https://t.co/UjpDeuqyoG"
2018-04-06 12:20:04,-0.743,Fri Apr 06 12:20:04 +0000 2018,0.283,0.717,0.0,nytimes,"Global markets fell modestly on Friday, hours after President Trump threatened to worsen trade relations with China… https://t.co/KxKldGve95"
2018-04-06 12:22:33,0.69,Fri Apr 06 12:22:33 +0000 2018,0.0,0.76,0.24,BBCNews,"RT @BBCSport: It's another gold for Australia in the pool! 🏅🇦🇺

They've won the men's 4 x 100m freestyle https://t.co/A1Xq2ooTtl

#GC2018 #…"
2018-04-06 12:22:37,0.0,Fri Apr 06 12:22:37 +0000 2018,0.0,1.0,0.0,BBCNews,RT @BBCSport: Followed by England who take the silver 🏴󠁧󠁢󠁥󠁮󠁧󠁿🥈... https://t.co/kE4yP6ycq0
2018-04-06 12:24:09,0.0,Fri Apr 06 12:24:09 +0000 2018,0.0,1.0,0.0,BBCNews,RT @BBCSport: And Scotland who take the bronze 🏴󠁧󠁢󠁳󠁣󠁴󠁿🥉 https://t.co/x38EFtopkh
2018-04-06 12:24:38,0.5719,Fri Apr 06 12:24:38 +0000 2018,0.0,0.837,0.163,CBSNews,A new Smithsonian exhibit aims to make visitors think about our place in the universe. It celebrates the 50th anniv… https://t.co/Vs598b8cMY
2018-04-06 12:27:46,0.1901,Fri Apr 06 12:27:46 +0000 2018,0.0,0.929,0.071,BBCNews,"RT @bbcweather: Here's your weekend weather. Showers and some rain around, but lots of dry spells too and feeling mild for many. Jo https:/…"
2018-04-06 12:29:34,-0.6369,Fri Apr 06 12:29:34 +0000 2018,0.394,0.606,0.0,BBCNews,Harrogate trench collapse: Workman stuck beneath clay and tarmac https://t.co/p3LWnkkmyr
2018-04-06 12:30:11,-0.128,Fri Apr 06 12:30:11 +0000 2018,0.14,0.744,0.116,nytimes,"Anthony Scaramucci is credited as an executive producer on ""Paterno,"" a biopic of the disgraced Penn State football… https://t.co/O5YKDkMyj1"
2018-04-06 12:38:35,-0.296,Fri Apr 06 12:38:35 +0000 2018,0.115,0.885,0.0,CBSNews,"For months after a Tennessee woman's disappearance, nobody reported her missing, not even her husband. But her hair… https://t.co/VVFxZ35Nd4"
2018-04-06 12:40:01,0.5719,Fri Apr 06 12:40:01 +0000 2018,0.0,0.812,0.188,CBSNews,"Federal authorities are offering a $10,000 reward for information leading to the capture of a fugitive airline mech… https://t.co/U8hQjdaiAI"
2018-04-06 12:40:04,-0.7717,Fri Apr 06 12:40:04 +0000 2018,0.3,0.7,0.0,BBCNews,"RT @BBCBreaking: Ex-spy Sergei Skripal no longer in critical condition, doctors say, after being poisoned by nerve agent in Salisbury https…"
2018-04-06 12:40:12,0.7579,Fri Apr 06 12:40:12 +0000 2018,0.0,0.745,0.255,nytimes,"Breaking News: The U.S. added 103,000 jobs in March, down from February's torrid pace but strong enough to extend t… https://t.co/m6IzY9Qh8A"
2018-04-06 12:45:07,0.0248,Fri Apr 06 12:45:07 +0000 2018,0.059,0.878,0.063,nytimes,"One EPA official was placed on administrative leave without pay, other officials were moved to jobs where they had… https://t.co/RYeeEkiD4b"
2018-04-06 12:53:02,0.0,Fri Apr 06 12:53:02 +0000 2018,0.0,1.0,0.0,CBSNews,"Businesses added 103,000 jobs in March, the Labor Department reports; the figure fell far short of predictions -- e… https://t.co/75dEglzuha"
2018-04-06 12:55:10,0.0772,Fri Apr 06 12:55:10 +0000 2018,0.195,0.598,0.207,nytimes,"Breaking News: The U.S. imposed sanctions on some of Russia's richest men and top officials, punishing Vladimir Put… https://t.co/D9aps5N19e"
2018-04-06 13:00:03,-0.5994,Fri Apr 06 13:00:03 +0000 2018,0.178,0.822,0.0,CBSNews,"President Trump says the trade war is ""already lost,"" and he ""probably won't"" attend White House Correspondents Din… https://t.co/RkaIC4PoZ9"
2018-04-06 13:00:23,0.0,Fri Apr 06 13:00:23 +0000 2018,0.0,1.0,0.0,nytimes,Morning Briefing: Here's what you need to know to start your day https://t.co/tC6RYSnt5o https://t.co/jUhMoH4n1K
2018-04-06 13:14:48,-0.5859,Fri Apr 06 13:14:48 +0000 2018,0.322,0.678,0.0,BBCNews,Man dies after Manchester Airport car park assault https://t.co/qezL9ZhXoJ
2018-04-06 13:16:07,0.4069,Fri Apr 06 13:16:07 +0000 2018,0.121,0.732,0.146,nytimes,"""I will do my best to see to it that I never am this ignorant again,"" said a teenager who was sentenced to read boo… https://t.co/v1JzIKlfxX"
2018-04-06 13:20:01,-0.4939,Fri Apr 06 13:20:01 +0000 2018,0.132,0.868,0.0,CBSNews,A relative of a former Russian spy and his daughter who were poisoned in Britain says she has not heard from them s… https://t.co/LK7C3VEBHc
2018-04-06 13:22:09,0.4767,Fri Apr 06 13:22:09 +0000 2018,0.0,0.853,0.147,BBCNews,"RT @BBCSport: Day 2 - Commonwealth Games #GC2018 

There were golds for Scotland, England &amp; Wales, winners including Katie Archibald, Sarah…"
2018-04-06 13:30:09,0.0,Fri Apr 06 13:30:09 +0000 2018,0.0,1.0,0.0,nytimes,"President Trump will again skip the White House Correspondents Dinner, the White House said, but the president will… https://t.co/7T01php77d"
2018-04-06 13:31:05,-0.8176,Fri Apr 06 13:31:05 +0000 2018,0.299,0.643,0.058,BBCNews,"RT @BBCWorld: Russia's UN ambassador says UK is ""playing with fire"" and has invented a ""fake story"" about poisoning of former spy and his d…"
2018-04-06 13:35:34,0.0,Fri Apr 06 13:35:34 +0000 2018,0.0,1.0,0.0,BBCNews,Burglar breaks into Longton house and takes a bath https://t.co/zrgTXwtg29
2018-04-06 13:35:35,-0.34,Fri Apr 06 13:35:35 +0000 2018,0.324,0.676,0.0,BBCNews,Arrest in London teen shooting https://t.co/AYqfTgdD7d
2018-04-06 13:40:01,0.296,Fri Apr 06 13:40:01 +0000 2018,0.0,0.879,0.121,CBSNews,"The Facebook breach shows ""we share too much and think too little,"" one cybersecurity expert says… https://t.co/K6NOUjtnFx"
2018-04-06 13:41:39,0.0,Fri Apr 06 13:41:39 +0000 2018,0.0,1.0,0.0,CBSNews,The Trump administration is targeting Russian President Putin's inner circle in new sweeping sanctions:… https://t.co/FZef7LC6Ga
2018-04-06 13:45:05,0.3612,Fri Apr 06 13:45:05 +0000 2018,0.0,0.737,0.263,nytimes,11 new books we recommend this week https://t.co/X7L9CkYHFp
2018-04-06 13:49:51,-0.8591,Fri Apr 06 13:49:51 +0000 2018,0.345,0.655,0.0,CBSNews,China has vowed to fight the U.S. at any cost as a potential trade war escalates. President Trump threatened $100 b… https://t.co/F6Jx65Frlt
2018-04-06 13:54:52,-0.5423,Fri Apr 06 13:54:52 +0000 2018,0.304,0.696,0.0,BBCNews,Electronic tag numbers up as prisoner population falls https://t.co/s0pO3BxfGJ
2018-04-06 13:58:38,-0.8055,Fri Apr 06 13:58:38 +0000 2018,0.303,0.697,0.0,CBSNews,"Hard numbers:
▪️ 81.9: 81.9% of the 2,783 counties most likely to lose jobs in a U.S.-China trade war voted for Tru… https://t.co/wc5PGlzr99"
2018-04-06 14:00:03,-0.6597,Fri Apr 06 14:00:03 +0000 2018,0.188,0.812,0.0,CBSNews,"The Menendez brothers, who were convicted of killing their parents in their Beverly Hills mansion in 1989, have bee… https://t.co/BFk8ehgitS"
2018-04-06 14:00:22,0.0,Fri Apr 06 14:00:22 +0000 2018,0.0,1.0,0.0,nytimes,"Russian television broadcast a telephone recording said to be of Yulia Skripal, and the British police released a s… https://t.co/nUdLi7TMs3"
2018-04-06 14:01:35,0.2023,Fri Apr 06 14:01:35 +0000 2018,0.0,0.847,0.153,BBCNews,UK chains Bargain Booze and Wine Rack sold to Bestway https://t.co/1SOCCBRM5u
2018-04-06 14:07:32,0.6705,Fri Apr 06 14:07:32 +0000 2018,0.0,0.732,0.268,BBCNews,"RT @BBCWorld: Amazing Amazon discoveries.

Nine new species found where few scientists have gone before https://t.co/zotjXICtnJ #Longreads…"
2018-04-06 14:12:32,0.5106,Fri Apr 06 14:12:32 +0000 2018,0.0,0.752,0.248,BBCNews,Spain hopeful of Gibraltar deal with the UK by summer https://t.co/VfVl6yKG9o
2018-04-06 14:14:05,-0.8885,Fri Apr 06 14:14:05 +0000 2018,0.39,0.61,0.0,nytimes,Conor McGregor was charged with 3 counts of assault and one count of criminal mischief in New York City after he in… https://t.co/yh8CtZRUNw
2018-04-06 14:16:02,-0.6808,Fri Apr 06 14:16:02 +0000 2018,0.195,0.805,0.0,CBSNews,"A woman has sued the Mormon church, alleging a former missionary leader raped her in the 1980s and the church faile… https://t.co/KuDCD2apO8"
